n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3	THOI	3.325884222984314	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	7.018064035598156	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	8.6580513610744	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4	THOI	4.875954222679138	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	9.925665186001611	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	12.05725105416661	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	6.892856693267822	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	12.876710515440559	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	15.376462673747401	0.1	1.0	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	8.936559057235717	0.1	1.0	0.1
X1-X2-X3	GCMI	0.01268305709761806	0.2	0.1	0.1
X1-X2-X3	NPEET	0.04597641318018068	0.2	0.1	0.1
X1-X2-X3	THOI	0.015464138984680176	0.2	0.1	0.1
X1-X2-X3-X4	GCMI	-0.11550463575449152	0.2	0.1	0.1
X1-X2-X3-X4	NPEET	0.2607045211167537	0.2	0.1	0.1
X1-X2-X3-X4	THOI	0.052975916862487794	0.2	0.1	0.1
X1-X2-X3-X4-X5	GCMI	0.1538495779471345	0.2	0.1	0.1
X1-X2-X3-X4-X5	NPEET	0.8620132541486919	0.2	0.1	0.1
X1-X2-X3-X4-X5	THOI	0.3562042236328125	0.2	0.1	0.1
X1-X2-X3-X4-X5-X6	GCMI	0.23551011649422415	0.2	0.1	0.1
X1-X2-X3-X4-X5-X6	NPEET	1.206777517049908	0.2	0.1	0.1
X1-X2-X3-X4-X5-X6	THOI	0.3562258958816528	0.2	0.1	0.1
Z00-Z01-X1-X2-X3	GCMI	-0.1226343087376605	0.2	0.1	0.1
Z00-Z01-X1-X2-X3	NPEET	0.622750412178877	0.2	0.1	0.1
Z00-Z01-X1-X2-X3	THOI	-0.04033946990966797	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	0.24915108045293652	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	1.9098257251502695	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4	THOI	0.4002218723297119	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	0.5796064026999186	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	2.8017528467020996	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	0.7751721143722534	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	0.8392690235552399	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	3.6013530750976956	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	0.8798094272613526	0.2	0.1	0.1
X1-X2-X3	GCMI	0.1082506854846625	0.2	0.2	0.1
X1-X2-X3	NPEET	0.12860328510904973	0.2	0.2	0.1
X1-X2-X3	THOI	0.10024157762527466	0.2	0.2	0.1
X1-X2-X3-X4	GCMI	0.0195855284644953	0.2	0.2	0.1
X1-X2-X3-X4	NPEET	0.5249008609927184	0.2	0.2	0.1
X1-X2-X3-X4	THOI	0.24424357414245607	0.2	0.2	0.1
X1-X2-X3-X4-X5	GCMI	0.557939770718884	0.2	0.2	0.1
X1-X2-X3-X4-X5	NPEET	1.460989305453501	0.2	0.2	0.1
X1-X2-X3-X4-X5	THOI	0.7378303527832031	0.2	0.2	0.1
X1-X2-X3-X4-X5-X6	GCMI	0.9022164949708337	0.2	0.2	0.1
X1-X2-X3-X4-X5-X6	NPEET	2.159252378779487	0.2	0.2	0.1
X1-X2-X3-X4-X5-X6	THOI	0.9152979612350464	0.2	0.2	0.1
Z00-Z01-X1-X2-X3	GCMI	0.17726113589300022	0.2	0.2	0.1
Z00-Z01-X1-X2-X3	NPEET	0.9877674130258598	0.2	0.2	0.1
Z00-Z01-X1-X2-X3	THOI	0.1987539768218994	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	0.6419040393049886	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	2.536506092084731	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4	THOI	0.748682951927185	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	1.3328790494311447	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	3.8362285944594796	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	1.3749177217483521	0.2	0.2	0.1
