n-plet	method	O-information	alpha	beta
X4-X5-X6	THOI	-1.5926361083984374e-05	0.2	0.9
X1-X2-X3-X6	GCMI	0.012511266457272541	0.2	1.0
X1-X2-X3-X6	NPEET	-0.11576001833001684	0.2	1.0
X1-X2-X3-X6	THOI	0.00876913070678711	0.2	1.0
X1-X4-X5-X6	GCMI	4.858123821094296e-06	0.2	1.0
X1-X4-X5-X6	NPEET	0.5740889327882691	0.2	1.0
X1-X4-X5-X6	THOI	-1.3256072998046875e-05	0.2	1.0
X2-X3-X6	GCMI	0.012511004819126547	0.2	1.0
X2-X3-X6	NPEET	-0.11706783733910057	0.2	1.0
X2-X3-X6	THOI	0.008768558502197266	0.2	1.0
X4-X5-X6	GCMI	1.3701091642559505e-06	0.2	1.0
X4-X5-X6	NPEET	0.333660860264982	0.2	1.0
X4-X5-X6	THOI	-1.430511474609375e-05	0.2	1.0
X1-X2-X3-X6	GCMI	0.00011095119907977846	0.30000000000000004	0.1
X1-X2-X3-X6	NPEET	0.0054391456207675045	0.30000000000000004	0.1
X1-X2-X3-X6	THOI	8.935928344726563e-05	0.30000000000000004	0.1
X1-X4-X5-X6	GCMI	1.8115744666147294e-06	0.30000000000000004	0.1
X1-X4-X5-X6	NPEET	0.5516950732603764	0.30000000000000004	0.1
X1-X4-X5-X6	THOI	2.86102294921875e-07	0.30000000000000004	0.1
X2-X3-X6	GCMI	0.0001100375255605357	0.30000000000000004	0.1
X2-X3-X6	NPEET	0.00799539701754437	0.30000000000000004	0.1
X2-X3-X6	THOI	8.81195068359375e-05	0.30000000000000004	0.1
X4-X5-X6	GCMI	-8.230328376157559e-07	0.30000000000000004	0.1
X4-X5-X6	NPEET	0.29712717211571427	0.30000000000000004	0.1
X4-X5-X6	THOI	-6.67572021484375e-07	0.30000000000000004	0.1
X1-X2-X3-X6	GCMI	0.0006292804836718346	0.30000000000000004	0.2
X1-X2-X3-X6	NPEET	-0.0008666622619678321	0.30000000000000004	0.2
X1-X2-X3-X6	THOI	0.0004927635192871094	0.30000000000000004	0.2
X1-X4-X5-X6	GCMI	-6.022704916119892e-07	0.30000000000000004	0.2
X1-X4-X5-X6	NPEET	0.5892997027073111	0.30000000000000004	0.2
X1-X4-X5-X6	THOI	1.049041748046875e-06	0.30000000000000004	0.2
X2-X3-X6	GCMI	0.0006137025178968968	0.30000000000000004	0.2
X2-X3-X6	NPEET	-0.005084366373301031	0.30000000000000004	0.2
X2-X3-X6	THOI	0.0004811286926269531	0.30000000000000004	0.2
X4-X5-X6	GCMI	3.5462983579037656e-06	0.30000000000000004	0.2
