n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3-X4-X5	GCMI	1.1229486896188945	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	1.9461351255172126	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	0.7783677101135253	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	1.269321684449426	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	2.485468320189805	0.2	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	0.8798252582550049	0.2	0.1	0.1
X1-X2-X3	GCMI	0.1459173318646554	0.2	0.2	0.1
X1-X2-X3	NPEET	0.09691001662932486	0.2	0.2	0.1
X1-X2-X3	THOI	0.10114251375198365	0.2	0.2	0.1
X1-X2-X3-X4	GCMI	0.35076784707873426	0.2	0.2	0.1
X1-X2-X3-X4	NPEET	0.35712631267614825	0.2	0.2	0.1
X1-X2-X3-X4	THOI	0.2431333303451538	0.2	0.2	0.1
X1-X2-X3-X4-X5	GCMI	1.0637737340141302	0.2	0.2	0.1
X1-X2-X3-X4-X5	NPEET	1.0017212783306184	0.2	0.2	0.1
X1-X2-X3-X4-X5	THOI	0.7373507499694825	0.2	0.2	0.1
X1-X2-X3-X4-X5-X6	GCMI	1.3192041732087874	0.2	0.2	0.1
X1-X2-X3-X4-X5-X6	NPEET	1.4872465147480765	0.2	0.2	0.1
X1-X2-X3-X4-X5-X6	THOI	0.9144041776657105	0.2	0.2	0.1
Z00-Z01-X1-X2-X3	GCMI	0.2879472670985672	0.2	0.2	0.1
Z00-Z01-X1-X2-X3	NPEET	0.6789203893743666	0.2	0.2	0.1
Z00-Z01-X1-X2-X3	THOI	0.19958901405334473	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	1.0788796587100729	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	1.7377984013986023	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4	THOI	0.7478234052658081	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	1.98014480554949	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	2.6506126941677954	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	1.3725310564041138	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	2.6356697216649674	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	3.5249140502930936	0.2	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	1.8269070386886597	0.2	0.2	0.1
X1-X2-X3	GCMI	0.3234907956511581	0.2	0.3	0.1
X1-X2-X3	NPEET	0.23632016873770353	0.2	0.3	0.1
X1-X2-X3	THOI	0.22422698736190796	0.2	0.3	0.1
X1-X2-X3-X4	GCMI	0.6577680744036469	0.2	0.3	0.1
X1-X2-X3-X4	NPEET	0.6394682806940915	0.2	0.3	0.1
X1-X2-X3-X4	THOI	0.455929696559906	0.2	0.3	0.1
X1-X2-X3-X4-X5	GCMI	1.6731939932697188	0.2	0.3	0.1
X1-X2-X3-X4-X5	NPEET	1.544906062094947	0.2	0.3	0.1
X1-X2-X3-X4-X5	THOI	1.1597687959671021	0.2	0.3	0.1
X1-X2-X3-X4-X5-X6	GCMI	2.2940960792181313	0.2	0.3	0.1
X1-X2-X3-X4-X5-X6	NPEET	2.3066958166202953	0.2	0.3	0.1
X1-X2-X3-X4-X5-X6	THOI	1.5901476860046386	0.2	0.3	0.1
Z00-Z01-X1-X2-X3	GCMI	0.7703379603818258	0.2	0.3	0.1
Z00-Z01-X1-X2-X3	NPEET	1.0672534761720207	0.2	0.3	0.1
Z00-Z01-X1-X2-X3	THOI	0.5339566707611084	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	1.7071101090209129	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	2.31631322092147	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4	THOI	1.1832791328430177	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	2.960924976696789	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	3.5000508671658928	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	2.0523555517196654	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	4.078901466820608	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	4.677565594393089	0.2	0.3	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	2.8272782802581786	0.2	0.3	0.1
X1-X2-X3	GCMI	0.528919714289355	0.2	0.4	0.1
X1-X2-X3	NPEET	0.3964611993978241	0.2	0.4	0.1
X1-X2-X3	THOI	0.366619348526001	0.2	0.4	0.1
X1-X2-X3-X4	GCMI	0.9824844462397995	0.2	0.4	0.1
X1-X2-X3-X4	NPEET	0.9517079470291222	0.2	0.4	0.1
X1-X2-X3-X4	THOI	0.6810058236122132	0.2	0.4	0.1
X1-X2-X3-X4-X5	GCMI	2.2793166816249952	0.2	0.4	0.1
