n-plet	method	O-information	alpha	beta	gamma
Z00-Z01-X1-X2-X3	JDIT	0.5555903578622126	0.3	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.2700433993387668	0.3	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.619761052863788	0.3	0.8	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	7.321859350770181	0.3	0.8	0.10000000149011612
X1-X2-X3	JDIT	0.6431714063251738	0.3	0.9	0.10000000149011612
X1-X2-X3-X4	JDIT	1.4309229211926775	0.3	0.9	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	3.104815681801874	0.3	0.9	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	4.475019274009265	0.3	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.6431708338756963	0.3	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.4309231622226686	0.3	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.8610535796464043	0.3	0.9	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	7.753151975870177	0.3	0.9	0.10000000149011612
X1-X2-X3	JDIT	0.734312273615889	0.3	1.0	0.10000000149011612
X1-X2-X3-X4	JDIT	1.6008893198516982	0.3	1.0	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	3.372728376941158	0.3	1.0	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	4.8419410115349875	0.3	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.7343120961662362	0.3	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.6008895540029642	0.3	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	4.1078601383962505	0.3	1.0	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	8.18765699490893	0.3	1.0	0.10000000149011612
X1-X2-X3	JDIT	0.3538269878725973	0.4	0.1	0.10000000149011612
X1-X2-X3-X4	JDIT	0.7898427260353899	0.4	0.1	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.536351806349065	0.4	0.1	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	1.8751052417925085	0.4	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.35382631802059805	0.4	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.789842647037853	0.4	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.0535249430361064	0.4	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	3.5746402722920734	0.4	0.1	0.10000000149011612
X1-X2-X3	JDIT	0.1473504421994716	0.4	0.2	0.10000000149011612
X1-X2-X3-X4	JDIT	0.5137409728505073	0.4	0.2	0.10000000149011612
