n-plet	method	alpha	beta	O-information
X1-X2-Z_syn-Z_red	JDIT	0.05	0.2	1.948930729251489
X1-X2-Z_syn	JDIT	0.05	0.3	-0.9591926602545536
X1-X2-Z_syn-Z_red	JDIT	0.05	0.3	2.3256657497046014
X1-X2-Z_syn	JDIT	0.05	0.4	-0.733175144532051
X1-X2-Z_syn-Z_red	JDIT	0.05	0.4	2.593547126292953
X1-X2-Z_syn	JDIT	0.05	0.5	-0.5783407404839733
X1-X2-Z_syn-Z_red	JDIT	0.05	0.5	2.7970169317327764
X1-X2-Z_syn	JDIT	0.05	0.6	-0.458175720412747
X1-X2-Z_syn-Z_red	JDIT	0.05	0.6	2.9700131554982576
X1-X2-Z_syn	JDIT	0.05	0.7	-0.3756600411836083
X1-X2-Z_syn-Z_red	JDIT	0.05	0.7	3.1038359645469464
X1-X2-Z_syn	JDIT	0.05	0.8	-0.30698680489112135
X1-X2-Z_syn-Z_red	JDIT	0.05	0.8	3.2261602573937926
X1-X2-Z_syn	JDIT	0.05	0.9	-0.2541738723899188
X1-X2-Z_syn-Z_red	JDIT	0.05	0.9	3.32884067613021
X1-X2-Z_syn	JDIT	0.05	0.91	-0.25208217889140966
X1-X2-Z_syn-Z_red	JDIT	0.05	0.91	3.3338396195692916
X1-X2-Z_syn	JDIT	0.05	0.92	-0.2420199629296576
X1-X2-Z_syn-Z_red	JDIT	0.05	0.92	3.3496479293189987
X1-X2-Z_syn	JDIT	0.05	0.93	-0.2407637673263563
X1-X2-Z_syn-Z_red	JDIT	0.05	0.93	3.354658902740874
X1-X2-Z_syn	JDIT	0.05	0.94	-0.23660349528967312
X1-X2-Z_syn-Z_red	JDIT	0.05	0.94	3.363824614344716
X1-X2-Z_syn	JDIT	0.05	0.95	-0.2320386975969134
X1-X2-Z_syn-Z_red	JDIT	0.05	0.95	3.3726754912572643
X1-X2-Z_syn	JDIT	0.05	0.96	-0.22555127079785034
X1-X2-Z_syn-Z_red	JDIT	0.05	0.96	3.3844172088398827
X1-X2-Z_syn	JDIT	0.05	0.97	-0.2176270817728773
X1-X2-Z_syn-Z_red	JDIT	0.05	0.97	3.3987222874810783
X1-X2-Z_syn	JDIT	0.05	0.98	-0.21975091391724644
X1-X2-Z_syn-Z_red	JDIT	0.05	0.98	3.3970650405233025
X1-X2-Z_syn	JDIT	0.05	0.99	-0.21412193579098054
X1-X2-Z_syn-Z_red	JDIT	0.05	0.99	3.4065782072490274
X1-X2-Z_syn	JDIT	0.06	0.01	-1.9260722223530524
X1-X2-Z_syn-Z_red	JDIT	0.06	0.01	0.5130471055757775
X1-X2-Z_syn	JDIT	0.06	0.02	-2.2603708059151626
X1-X2-Z_syn-Z_red	JDIT	0.06	0.02	0.42893618411279827
X1-X2-Z_syn	JDIT	0.06	0.03	-2.358164316840333
X1-X2-Z_syn-Z_red	JDIT	0.06	0.03	0.45110030576246885
X1-X2-Z_syn	JDIT	0.06	0.04	-2.3636368769012304
X1-X2-Z_syn-Z_red	JDIT	0.06	0.04	0.5316231331459667
X1-X2-Z_syn	JDIT	0.06	0.05	-2.321312436313071
X1-X2-Z_syn-Z_red	JDIT	0.06	0.05	0.6418142591390896
X1-X2-Z_syn	JDIT	0.06	0.06	-2.256345981582405
X1-X2-Z_syn-Z_red	JDIT	0.06	0.06	0.7565516443685658
X1-X2-Z_syn	JDIT	0.06	0.07	-2.1867520218235876
X1-X2-Z_syn-Z_red	JDIT	0.06	0.07	0.8669283368961661
X1-X2-Z_syn	JDIT	0.06	0.08	-2.1202949830744506
X1-X2-Z_syn-Z_red	JDIT	0.06	0.08	0.9584111842344528
X1-X2-Z_syn	JDIT	0.06	0.09	-2.0417137176003717
X1-X2-Z_syn-Z_red	JDIT	0.06	0.09	1.0658860443580402
X1-X2-Z_syn	JDIT	0.06	0.1	-1.9772128774849231
X1-X2-Z_syn-Z_red	JDIT	0.06	0.1	1.1475944090096162
X1-X2-Z_syn	JDIT	0.06	0.2	-1.4475024568739343
X1-X2-Z_syn-Z_red	JDIT	0.06	0.2	1.7729909356926759
X1-X2-Z_syn	JDIT	0.06	0.3	-1.1056889779744907
X1-X2-Z_syn-Z_red	JDIT	0.06	0.3	2.159360788838991
X1-X2-Z_syn	JDIT	0.06	0.4	-0.87408226409897
X1-X2-Z_syn-Z_red	JDIT	0.06	0.4	2.4267844787806205
X1-X2-Z_syn	JDIT	0.06	0.5	-0.7059942657779159
X1-X2-Z_syn-Z_red	JDIT	0.06	0.5	2.629736109603184
X1-X2-Z_syn	JDIT	0.06	0.6	-0.577934071467535
X1-X2-Z_syn-Z_red	JDIT	0.06	0.6	2.7976263401356394
X1-X2-Z_syn	JDIT	0.06	0.7	-0.47637632202784286
X1-X2-Z_syn-Z_red	JDIT	0.06	0.7	2.940572459596742
X1-X2-Z_syn	JDIT	0.06	0.8	-0.39907191455150637
X1-X2-Z_syn-Z_red	JDIT	0.06	0.8	3.064248185889004
X1-X2-Z_syn	JDIT	0.06	0.9	-0.3398299947929332
X1-X2-Z_syn-Z_red	JDIT	0.06	0.9	3.1687993205678313
