sample size	iteration	time
55000	75	11170.0
55000	76	11301.0
55000	77	11580.0
55000	78	11660.0
55000	79	11426.0
55000	80	11228.0
55000	81	11334.0
55000	82	11310.0
55000	83	10716.0
55000	84	10832.0
55000	85	11192.0
55000	86	11633.0
55000	87	11068.0
55000	88	11559.0
55000	89	11207.0
55000	90	11192.0
55000	91	11021.0
55000	92	11428.0
55000	93	11110.0
55000	94	10734.0
55000	95	11053.0
55000	96	10493.0
55000	97	10951.0
55000	98	11746.0
55000	99	10812.0
60000	0	12199.0
60000	1	12423.0
60000	2	12525.0
60000	3	12568.0
60000	4	12587.0
60000	5	12646.0
60000	6	12421.0
60000	7	12810.0
60000	8	12939.0
60000	9	12240.0
60000	10	12795.0
60000	11	12720.0
60000	12	12974.0
60000	13	12817.0
60000	14	13226.0
60000	15	12568.0
60000	16	13988.0
60000	17	13132.0
60000	18	12761.0
60000	19	13368.0
60000	20	12674.0
60000	21	13107.0
60000	22	12701.0
60000	23	12505.0
60000	24	12514.0
60000	25	12343.0
60000	26	12550.0
60000	27	11976.0
60000	28	12043.0
60000	29	12463.0
60000	30	12435.0
60000	31	12736.0
60000	32	12513.0
60000	33	12180.0
60000	34	12526.0
60000	35	12647.0
60000	36	12674.0
60000	37	12578.0
60000	38	12823.0
60000	39	12225.0
60000	40	12625.0
60000	41	12417.0
60000	42	12729.0
60000	43	12173.0
60000	44	12609.0
60000	45	12829.0
60000	46	12102.0
60000	47	12357.0
60000	48	12657.0
60000	49	12663.0
60000	50	13085.0
60000	51	13061.0
60000	52	12430.0
60000	53	13050.0
60000	54	13283.0
60000	55	13451.0
60000	56	12942.0
60000	57	12299.0
60000	58	12391.0
60000	59	13687.0
60000	60	13116.0
60000	61	12856.0
60000	62	13218.0
60000	63	13815.0
60000	64	12335.0
60000	65	12199.0
60000	66	12557.0
60000	67	13030.0
60000	68	13243.0
60000	69	12472.0
60000	70	11671.0
60000	71	12101.0
60000	72	12431.0
60000	73	12005.0
60000	74	12684.0
60000	75	12995.0
60000	76	12694.0
60000	77	12576.0
60000	78	12354.0
60000	79	12537.0
60000	80	12370.0
60000	81	12342.0
60000	82	13573.0
60000	83	13410.0
60000	84	13883.0
60000	85	13198.0
60000	86	12891.0
60000	87	12372.0
60000	88	13544.0
60000	89	12869.0
60000	90	13569.0
60000	91	13600.0
60000	92	13516.0
60000	93	13709.0
60000	94	12578.0
60000	95	13080.0
60000	96	12577.0
60000	97	12645.0
60000	98	12634.0
60000	99	12950.0
65000	0	15089.0
65000	1	13882.0
65000	2	14889.0
65000	3	14350.0
65000	4	15017.0
65000	5	15019.0
65000	6	14985.0
65000	7	14983.0
65000	8	14619.0
65000	9	14400.0
65000	10	14728.0
65000	11	14754.0
65000	12	15041.0
65000	13	14887.0
65000	14	14731.0
65000	15	14652.0
65000	16	14067.0
65000	17	14545.0
65000	18	14685.0
65000	19	14479.0
65000	20	13564.0
65000	21	15083.0
65000	22	14369.0
65000	23	13729.0
65000	24	14530.0
65000	25	14033.0
65000	26	14737.0
65000	27	14367.0
65000	28	13874.0
65000	29	13859.0
65000	30	13953.0
65000	31	13643.0
65000	32	15013.0
65000	33	13632.0
65000	34	14648.0
65000	35	14818.0
65000	36	13896.0
65000	37	13932.0
65000	38	14262.0
65000	39	14533.0
65000	40	15612.0
65000	41	14500.0
65000	42	14581.0
65000	43	14264.0
65000	44	13982.0
65000	45	14297.0
65000	46	14671.0
65000	47	14468.0
65000	48	14421.0
65000	49	14180.0
65000	50	14363.0
65000	51	14434.0
65000	52	13978.0
65000	53	14318.0
65000	54	14101.0
65000	55	13901.0
65000	56	14224.0
65000	57	14621.0
65000	58	15028.0
65000	59	14596.0
65000	60	15835.0
65000	61	14583.0
65000	62	14603.0
65000	63	14389.0
65000	64	14768.0
65000	65	14796.0
65000	66	14614.0
65000	67	14046.0
65000	68	13937.0
65000	69	14707.0
65000	70	14078.0
65000	71	13331.0
65000	72	14210.0
65000	73	14917.0
65000	74	15161.0
65000	75	14072.0
65000	76	14886.0
65000	77	14239.0
65000	78	13409.0
65000	79	14348.0
65000	80	14635.0
65000	81	14316.0
65000	82	14217.0
65000	83	14052.0
65000	84	14377.0
65000	85	13934.0
65000	86	13522.0
65000	87	14222.0
65000	88	14128.0
65000	89	15082.0
65000	90	14424.0
65000	91	14249.0
65000	92	14717.0
65000	93	14052.0
65000	94	14412.0
65000	95	14241.0
65000	96	14582.0
65000	97	14747.0
65000	98	14803.0
65000	99	13957.0
70000	0	16475.0
70000	1	16560.0
70000	2	15659.0
70000	3	15357.0
70000	4	16052.0
70000	5	16189.0
70000	6	17318.0
70000	7	15636.0
70000	8	16293.0
70000	9	15684.0
70000	10	15252.0
70000	11	16026.0
70000	12	16011.0
70000	13	16489.0
70000	14	15440.0
70000	15	17157.0
70000	16	16050.0
70000	17	16806.0
70000	18	15676.0
70000	19	16603.0
70000	20	17298.0
70000	21	16055.0
70000	22	17177.0
70000	23	17801.0
70000	24	16965.0
70000	25	16911.0
70000	26	15841.0
70000	27	15835.0
70000	28	17025.0
70000	29	17848.0
