n_variables	n_samples	real_entropy	real_o_information	npeet_entropy	gcmi_entropy	o_info_npeet	o_info_gcmi
3	15000	-2.320616258526634	0.3283979164994859	-7.372492497320575	3.784229924265252	-3.400643723022638	-1.2764781362432491
3	100000	-2.320616258526634	0.3283979164994859	-8.336023825994431	3.788550719470284	-4.299798563581444	-1.26861557327618
3	150000	-2.320616258526634	0.3283979164994859	-8.544266076945188	3.794821695044352	-4.507109477416071	-1.265496274334049
3	1000000	-2.320616258526634	0.3283979164994859	-9.49611810131812	3.7995978254604545	-5.453109368218847	-1.261666762152616
3	1500000	-2.320616258526634	0.3283979164994859	-9.693526867406893	3.8033984562428946	-5.656708864188182	-1.2594231576110406
3	10	-1.7395621404251091	-0.12968528339120322	-2.8754735435282095	4.526646469929052	0.21184929959901888	-0.755548644129914
3	15	-1.7395621404251091	-0.12968528339120322	-2.6576061074871205	4.132040841149974	-0.2935591443870287	-0.4922743269436234
3	100	-1.7395621404251091	-0.12968528339120322	-3.9242770158722866	3.8530007211287693	-1.2734326276637322	-1.4125289434950878
3	150	-1.7395621404251091	-0.12968528339120322	-4.028635066818293	4.030288314541216	-1.3306873590903692	-1.3801016742934902
3	1000	-1.7395621404251091	-0.12968528339120322	-5.134413548599959	3.6441375669409597	-2.2569209299033455	-1.7760747326687483
3	1500	-1.7395621404251091	-0.12968528339120322	-5.460351069053319	3.612590819552836	-2.376323867622655	-1.7732940755108797
3	10000	-1.7395621404251091	-0.12968528339120322	-6.337394134262935	3.7000180514342813	-3.3678166087726797	-1.6964197203885525
3	15000	-1.7395621404251091	-0.12968528339120322	-6.521574299075844	3.7217582120217148	-3.5802460419956468	-1.66673667019151
3	100000	-1.7395621404251091	-0.12968528339120322	-7.468994895790498	3.7380323275572325	-4.528431526564946	-1.6628609099347038
3	150000	-1.7395621404251091	-0.12968528339120322	-7.671443433445386	3.7146758169464174	-4.734814876437328	-1.6824859403640384
3	1000000	-1.7395621404251091	-0.12968528339120322	-8.624785819333164	3.722719001038502	-5.674064500020341	-1.6757712065200328
3	1500000	-1.7395621404251091	-0.12968528339120322	-8.828916393283174	3.7253359356630917	-5.878481743175975	-1.6731917010668877
3	10	-2.400214773107045	0.088707993994106	-3.3890326971131097	3.3380207421909276	0.16456360633462408	-0.9019296895358284
3	15	-2.400214773107045	0.088707993994106	-3.405107783309718	4.469818773393746	-0.22141091009009717	-0.7640652910204198
3	100	-2.400214773107045	0.088707993994106	-4.995155620643283	3.9449641498135635	-1.022451392696003	-1.129396908155353
3	150	-2.400214773107045	0.088707993994106	-5.043054696923752	3.7059182779455417	-1.1268747153577996	-1.2607188927534425
3	1000	-2.400214773107045	0.088707993994106	-6.134987429043342	3.9705507371254543	-2.111693376142054	-1.1851781112206954
3	1500	-2.400214773107045	0.088707993994106	-6.263078002384182	4.092965890125922	-2.32775567599157	-1.1252592527253746
3	10000	-2.400214773107045	0.088707993994106	-7.306231904907618	3.9858607815544422	-3.180541832695777	-1.2096250382214384
3	15000	-2.400214773107045	0.088707993994106	-7.525228012083044	3.981367125031894	-3.398652246694736	-1.2048220009606956
3	100000	-2.400214773107045	0.088707993994106	-8.457631339652984	4.0153716321323065	-4.345053643437357	-1.1875036385938733
3	150000	-2.400214773107045	0.088707993994106	-8.666624947379429	3.9998097502119885	-4.554529394895383	-1.1947233152746142
3	1000000	-2.400214773107045	0.088707993994106	-9.613697694289145	4.0085512800021075	-5.500028576534312	-1.1952584372760295
3	1500000	-2.400214773107045	0.088707993994106	-9.818942467554828	4.002086074295965	-5.704393533490546	-1.1982733645971901
3	10	-2.231136004530386	0.24663188789188695	-4.013955004361045	3.7220161031967414	-0.2861605450434719	-0.6172677149716086
3	15	-2.231136004530386	0.24663188789188695	-3.791765521208855	4.826446190738055	-0.5796747753403162	-0.5118708632549698
3	100	-2.231136004530386	0.24663188789188695	-4.886030170286242	3.754612403668011	-0.7435850234188921	-1.005163145429968
3	150	-2.231136004530386	0.24663188789188695	-4.8902898833413175	3.734037507915403	-1.2403593582204353	-1.1265842138997275
3	1000	-2.231136004530386	0.24663188789188695	-5.790252038458567	3.817797220535603	-2.059642377889137	-1.2108789862243916
3	1500	-2.231136004530386	0.24663188789188695	-6.110726282948551	3.8562750947502	-2.2775084411846445	-1.2344240813931409
3	10000	-2.231136004530386	0.24663188789188695	-7.052851355506538	3.82187602931155	-3.177770294205441	-1.274007337687606
3	15000	-2.231136004530386	0.24663188789188695	-7.243086211029347	3.8837788653495804	-3.3889444925028887	-1.2283324208237523
3	100000	-2.231136004530386	0.24663188789188695	-8.212812054063988	3.860539722992395	-4.323894166317935	-1.24990322584991
3	150000	-2.231136004530386	0.24663188789188695	-8.4167553085118	3.85105855228489	-4.521999850802432	-1.2584370477045574
3	1000000	-2.231136004530386	0.24663188789188695	-9.35668799612794	3.8502426805157937	-5.472908169340165	-1.2578899766631553
3	1500000	-2.231136004530386	0.24663188789188695	-9.564228255712157	3.847638577873526	-5.672712986376213	-1.2603329555879954
