distribution	alpha	window	O-information	Total Correlation	Dual Total Correlation	S-information
tt_normal	0.4	5	0.02219811705614675	0.22813471242390904	0.20593662172905752	0.43407554589161673
tt_normal	0.4	6	0.02971998110297145	0.22553778438397387	0.1958200651254359	0.4213557953762452
tt_normal	0.4	7	0.012852986029102672	0.23128783964125788	0.2184347609337527	0.4497172241296065
tt_normal	0.4	8	0.022952686852989065	0.2288959593443387	0.20594327058016992	0.43483931592800057
tt_normal	0.4	9	0.03693242470675861	0.20830368097360008	0.17137124535594586	0.3796748514608169
tt_normal	0.5	0	0.04761369177725589	0.3334485271166834	0.28583474942591813	0.6192831280900061
tt_normal	0.5	1	0.06779937444861152	0.34221422581254046	0.27441454617645306	0.6166285571901835
tt_normal	0.5	2	0.05604295593229324	0.3513565220277002	0.29531382326010125	0.6466704951781497
tt_normal	0.5	3	0.04090070186972239	0.3396796801732265	0.29877924590969895	0.6384593629337619
tt_normal	0.5	4	0.058783198141418955	0.32163059758333645	0.26284735226188827	0.5844777442288461
tt_normal	0.5	5	0.042208917458370666	0.37123657972085056	0.3290214626133508	0.7002579995549703
tt_normal	0.5	6	0.05784064471210353	0.3409320975272969	0.2830914584302209	0.6240214574682176
tt_normal	0.5	7	0.0392925147333557	0.36213699047598524	0.32284428153644573	0.6849811848309421
tt_normal	0.5	8	0.04097912680346164	0.360752187337237	0.3197731130376003	0.6805254035662367
tt_normal	0.5	9	0.051564345421115716	0.3307376483098494	0.27917334481209705	0.6099107491673869
tt_normal	0.6	0	0.07788303807853554	0.4720785274665289	0.3941954213144733	0.8662738408887428
tt_normal	0.6	1	0.1252922141296678	0.455044352116623	0.3297520175009914	0.7847962265398746
tt_normal	0.6	2	0.10552385007993906	0.4530206454506356	0.34749676349531977	0.8005198202742924
tt_normal	0.6	3	0.09391036014805353	0.47058515985664684	0.37667501595141895	0.8472600437099154
tt_normal	0.6	4	0.09598791245730029	0.48986463262969693	0.39387922246565166	0.8837414266117445
tt_normal	0.6	5	0.08899981778133481	0.4768396888472779	0.387840003905079	0.8646799391022293
